1,-21541
1,480
1,125
1,318
1,138
1,-21538
2,125
2,444
2,480
3,-21543
3,7372
3,2187
3,1434
3,1251
3,829
3,639
3,481
3,444
3,480
3,-21541
4,639
4,647
4,830
4,829
5,829
5,830
5,831
5,1048
5,1252
5,1251
6,1048
6,1049
6,1178
6,1252
7,1178
7,1253
7,1374
7,1602
7,1434
7,1251
7,1252
8,1374
8,1435
8,1587
8,1602
9,1434
9,1602
9,1587
9,1603
9,1766
9,1994
9,2188
9,2367
9,2739
9,2187
10,1766
10,1794
10,1995
10,1994
11,1994
11,1995
11,1996
11,2189
11,2188
12,2188
12,2189
12,2190
12,2368
12,2367
13,2367
13,2368
13,2369
13,2553
13,2740
13,3124
13,2739
14,2553
14,2554
14,2741
14,2740
15,2685
15,2931
15,3125
15,3124
15,2740
15,2741
16,2891
16,3126
16,3125
16,2931
17,2187
17,2739
17,3124
17,3125
17,3126
17,3074
17,3520
17,3739
17,4137
17,4923
17,5088
17,6093
17,7372
18,3074
18,3310
18,3311
18,3521
18,3520
19,3463
19,3740
19,3936
19,3739
19,3520
19,3521
20,3621
20,3937
20,3936
20,3740
21,3739
21,3936
21,3937
21,3938
21,4138
21,4334
21,4137
22,4130
22,4335
22,4334
22,4138
23,4137
23,4334
23,4335
23,4336
23,4533
23,4722
23,4924
23,4923
24,4533
24,4534
24,4723
24,4722
25,4722
25,4723
25,4724
25,4925
25,4924
26,4874
26,5089
26,5088
26,4923
26,4924
26,4925
27,5049
27,5282
27,5511
27,5713
27,5897
27,6277
27,7373
27,6093
27,5088
27,5089
28,5220
28,5512
28,5511
28,5282
29,5419
29,5714
29,5713
29,5511
29,5512
30,5713
30,5714
30,5715
30,5898
30,6094
30,5897
31,5812
31,6095
31,6094
31,5898
32,5897
32,6094
32,6095
32,6096
32,6278
32,6652
32,6277
33,6278
33,6279
33,6454
33,6653
33,6652
34,6454
34,6455
34,6654
34,6653
35,6277
35,6652
35,6653
35,6654
35,6655
35,6830
35,7052
35,7236
35,7374
35,7373
36,6749
36,7053
36,7052
36,6830
37,6955
37,7237
37,7236
37,7052
37,7053
38,7236
38,7237
38,7375
38,7238
38,7374
39,-21544
39,15098
39,11556
39,10413
39,9629
39,9075
39,8694
39,8330
39,7940
39,7738
39,7453
39,7238
39,7374
39,7373
39,6093
39,7372
39,-21543
40,7453
40,7540
40,7686
40,7738
41,7686
41,7739
41,7926
41,8135
41,7940
41,7738
42,7926
42,7941
42,8131
42,8135
43,7940
43,8135
43,8131
43,8136
43,8325
